source_db2,hg19_chr_start_end,chrom_text,tx_start,tx_end,strand,gene_symbol,ogi_imprinting_Status,ogi_Expressed_Allele,Gene_id,Location,your_input,tax_id,entrez,title,location,chrom,status,type,aliases,database,id_position,id_ensembl,id_assembly,cds_start,cds_end,exon_count,exon_starts,exon_ends,canonical,source
gi,chr7_95115212_95169543,chr7,95115212,95169543,+,ASB4,Not_Imprinted,Biallelic,ASB4,7q21-q22 ,ASB4,9606,51666,ankyrin repeat and SOCS box containing 4,7q21.3,7,active,protein-coding,"[MIM:605761, Q9Y574, CCDS5641, HGNC:16009, CCDS5642, ENSG00000005981, uc011kij.3, RGD:1563114, ASB-4, AF156779, NM_016116, MGI:1929751, ASB4, OTTHUMG00000153960]",EpiMed GENSYM,uc011kij.2,,GRCh37,95115283,95167071,5,"[95115212, 95125069, 95157124, 95165748, 95166882]","[95115470, 95125369, 95157615, 95165862, 95169543]",TRUE,ucsc
gi,chr11_2289727_2292182,chr11,2289727,2292182,-,ASCL2,Not_Imprinted,Biallelic,ASCL2,11p15,ASCL2,9606,430,achaete-scute family bHLH transcription factor 2,11p15.5,11,active,protein-coding,"[ASH2, HGNC:739, RGD:2159, MGI:96920, CCDS7732, ASCL2, bHLHa45, HASH2, MASH2, MIM:601886, OTTHUMG00000009648, Q99929, ENSG00000183734, uc001lvu.4, NM_005170]",EpiMed GENSYM,uc001lvu.3,,GRCh37,2290980,2291562,2,"[2289727, 2290962]","[2290356, 2292182]",TRUE,ucsc
gi,chr15_25923859_26108349,chr15,25923859,26108349,-,ATP10A,Imprinted,Maternal,ATP10A,15q11,ATP10A,9606,57194,ATPase phospholipid transporting 10A (putative),15q12,15,active,protein-coding,"[CCDS32178, ENSG00000206190, MIM:605855, ATP10C, HGNC:13542, OTTHUMG00000171703, ATP10A, uc010ayu.4, ATPVC, ATPVA, O60312, KIAA0566, MGI:1330809, NM_024490, AB011138, RGD:1306150]",EpiMed GENSYM,uc010ayu.3,,GRCh37,25924487,26108243,21,"[25923859, 25925267, 25925956, 25926140, 25928432, 25932849, 25936861, 25939965, 25947062, 25953122, 25953343, 25958820, 25961876, 25963328, 25966803, 25969037, 25971097, 25972306, 25981202, 26026165, 26107794]","[25925121, 25925455, 25926061, 25926221, 25928633, 25932975, 25936938, 25940293, 25947247, 25953249, 25953447, 25959388, 25962071, 25963546, 25967056, 25969168, 25971229, 25972413, 25981288, 26026370, 26108349]",TRUE,ucsc
gi,chr13_28519342_28519710,chr13,28519342,28519710,+,ATP5F1EP2,Imprinted,Maternal,ATP5EP2,13q12,ATP5F1EP2,9606,432369,ATP synthase F1 subunit epsilon pseudogene 2,13q12.2,13,active,pseudo,"[OTTHUMG00000016642, ENSG00000180389, HGNC:34026, EC567419, ATP5EP2, uc001uru.4, NR_002162, ATP5F1EP2, Q5VTU8]",EpiMed GENSYM,uc001uru.3,,GRCh37,28519342,28519342,1,[28519342],[28519710],TRUE,ucsc
added_list_fc,chr3_63850232_63989136,chr3,63850232,63989136,+,ATXN7,,,ATXN7,3p14.1,6314,9606,6314,ataxin 7,3p14.1,3,active,protein-coding,"[SCA7, MGI:2179277, ENSG00000285399, NM_000333, O15265, RGD:1562692, AJ000517, ADCAII, OPCA3, HGNC:10560, CCDS54603, ENSG00000285258, CCDS43102, CCDS46861, ATXN7, uc003dlw.5, ENSG00000163635, MIM:607640, SGF73, OTTHUMG00000158763]",EpiMed GENUID,uc003dlw.4,,GRCh37,63898274,63985143,13,"[63850232, 63884074, 63898263, 63898832, 63938054, 63965590, 63967861, 63968614, 63973734, 63975851, 63976413, 63981180, 63985125]","[63850675, 63884173, 63898599, 63898901, 63938159, 63965843, 63968121, 63968697, 63974000, 63976050, 63976535, 63982159, 63989136]",TRUE,ucsc
otago,chr19_41725107_41767671,chr19,41725107,41767671,+,AXL,,,AXL,19q13.2,AXL,9606,558,AXL receptor tyrosine kinase,19q13.2,19,active,protein-coding,"[OTTHUMG00000182727, CCDS12575, CCDS12574, HGNC:905, Tyro7, M76125, P30530, NM_001278599, AXL, uc010ehj.5, MIM:109135, CCDS62677, RGD:620028, ARK, JTK11, MGI:1347244, ENSG00000167601, UFO]",EpiMed GENSYM,uc010ehj.3,,GRCh37,41725297,41765809,20,"[41725107, 41726540, 41727050, 41727784, 41736871, 41737087, 41743848, 41744374, 41745068, 41745598, 41748787, 41749520, 41754418, 41754647, 41758255, 41758750, 41759503, 41762356, 41763397, 41765457]","[41725382, 41726763, 41727151, 41727961, 41736952, 41737203, 41744059, 41744514, 41745219, 41745625, 41748920, 41749612, 41754514, 41754725, 41758348, 41758872, 41759613, 41762516, 41763534, 41767671]",TRUE,ucsc
gi,chr11_369794_382117,chr11,369794,382117,+,B4GALNT4,Predicted,Maternal,B4GALNT4,11p15,B4GALNT4,9606,338707,"beta-1,4-N-acetyl-galactosaminyltransferase 4",11p15.5,11,active,protein-coding,"[OTTHUMG00000119075, FLJ25045, NM_178537, Q76KP1, MIM:618560, MGI:2652891, CCDS7694, uc001lpb.4, AB089939, RGD:1310052, ENSG00000182272, NGalNAc-T1, HGNC:26315, B4GALNT4]",EpiMed GENSYM,uc001lpb.3,,GRCh37,369803,381792,20,"[369794, 372108, 372661, 372851, 373025, 373190, 373448, 373749, 375460, 375638, 375846, 376073, 376250, 376420, 379417, 379865, 380129, 380291, 380824, 381668]","[369954, 372212, 372754, 372947, 373116, 373291, 373516, 373828, 375527, 375773, 375956, 376174, 376351, 377327, 379701, 380019, 380202, 380445, 380951, 382117]",TRUE,ucsc
added_list_fc,chr11_27676441_27742326,chr11,27676441,27742326,-,BDNF,,,BDNF,11p14.1,627,9606,627,brain derived neurotrophic factor,11p14.1,11,active,protein-coding,"[RGD:2202, AB038670, P23560, ENSG00000176697, CCDS41628, BDNF, uc001mrz.5, CCDS7865, HGNC:1033, NM_170735, BULN2, CCDS7866, MIM:113505, ANON2, OTTHUMG00000178797, CCDS44558, MGI:88145]",EpiMed GENUID,uc001mrz.4,,GRCh37,27679367,27680111,2,"[27676441, 27742190]","[27680132, 27742326]",TRUE,ucsc
added_list_fc,chr14_101003483_101036131,chr14,101003483,101036131,-,BEGAIN,,,BEGAIN,14q32.2,57596,9606,57596,brain enriched guanylate kinase associated,14q32.2,14,active,protein-coding,"[OTTHUMG00000171589, uc001yhq.4, NM_020836, CCDS9962, MIM:618597, BEGAIN, ENSG00000183092, Q9BUH8, RGD:708347, KIAA1446, HGNC:24163, MGI:3044626, BC002607]",EpiMed GENUID,uc001yhq.3,,GRCh37,101004305,101034261,7,"[101003483, 101006832, 101010194, 101011336, 101012837, 101034247, 101036074]","[101005652, 101006916, 101010302, 101011403, 101012999, 101034276, 101036131]",TRUE,ucsc
gi_otago,chr20_36145818_36156333,chr20,36145818,36156333,-,BLCAP,Imprinted,Isoform_Dependent,BLCAP,20q11,BLCAP,9606,10904,BLCAP apoptosis inducing factor,20q11.23,20,active,protein-coding,"[ENSG00000166619, AF053470, BLCAP, MIM:613110, HGNC:1055, CCDS13295, OTTHUMG00000032419, NM_006698, RGD:621666, uc002xhc.3, P62952, MGI:1858907, BC10]",EpiMed GENSYM,uc002xhc.3,ENST00000373537,GRCh37,36147312,36147576,2,"[36145818, 36156194]","[36147752, 36156333]",TRUE,ucsc
gi,chr1_40223902_40254533,chr1,40223902,40254533,-,BMP8B,Predicted,Paternal,BMP8B,1p35-p32 AS ,BMP8B,9606,656,bone morphogenetic protein 8b,1p34.2,1,active,protein-coding,"[OP-2, MGI:107335, BMP8B, ENSG00000116985, NM_001720, BMP8, P34820, uc001cdz.2, OP2, HGNC:1075, BC023526, OTTHUMG00000009247, CCDS444, MIM:602284]",EpiMed GENSYM,uc001cdz.1,,GRCh37,40226090,40254157,7,"[40223902, 40228763, 40229383, 40230294, 40239979, 40240520, 40253823]","[40226240, 40228874, 40229463, 40230489, 40240128, 40240710, 40254533]",TRUE,ucsc
added_list_fc,chr6_32936436_32949282,chr6,32936436,32949282,+,BRD2,,,BRD2,6p21.32,6046,9606,6046,bromodomain containing 2,6p21.32,6,active,protein-coding,"[NAT, MGI:99495, RGD:1303324, ENSG00000236227, D6S113E, CCDS56421, CCDS56420, OTTHUMG00000031241, CCDS4762, RNF3, ENSG00000234507, ENSG00000234704, ENSG00000204256, NM_001113182, FSH, MIM:601540, HGNC:1103, X96670, P25440, BRD2, O27.1.1, RING3, uc003ocn.4, FSRG1, KIAA9001, ENSG00000235307, ENSG00000230678, BRD2-IT1, ENSG00000215077]",EpiMed GENUID,uc003ocn.4,ENST00000374825,GRCh37,32940675,32948495,13,"[32936436, 32939371, 32942238, 32943160, 32943807, 32944026, 32944338, 32945218, 32945533, 32945902, 32947604, 32948118, 32948358]","[32936833, 32940704, 32942542, 32943298, 32943946, 32944241, 32944713, 32945347, 32945782, 32946165, 32947909, 32948241, 32949282]",TRUE,ucsc
gi,chr6_32362512_32374900,chr6,32362512,32374900,-,BTNL2,Predicted,Maternal,BTNL2,6p21,BTNL2,9606,56244,butyrophilin like 2,6p21.32,6,active,protein-coding,"[ENSG00000204290, OTTHUMG00000031102, uc063nqv.1, ENSG00000229597, ENSG00000224242, HGNC:1142, ENSG00000226127, ENSG00000275798, HSBLMHC1, MGI:1859549, ENSG00000225412, SS2, NM_019602, BTN7, CCDS78126, AF186588, BTNL2, ENSG00000229741, ENSG00000224770, BTL-II, ENSG00000225845, Q9UIR0, RGD:620731, MIM:606000]",EpiMed GENSYM,uc003obg.1,ENST00000374993,GRCh37,32362512,32374900,6,"[32362512, 32363815, 32369561, 32370711, 32372715, 32374821]","[32362802, 32364163, 32369582, 32370993, 32373063, 32374900]",FALSE,ucsc
gi,chr9_138387025_138391761,chr9,138387025,138391761,-,C9orf116,Predicted,Paternal,C9orf116,9q34,C9orf116,9606,138162,chromosome 9 open reading frame 116,9q34.3,9,active,protein-coding,"[OTTHUMG00000020902, uc004cft.2, MGC29761, MIM:614502, MGI:1916577, BC021261, Q5BN46, NM_144654, RbEST47, CCDS6989, C9orf116, RGD:1306233, HGNC:28435, CCDS43899, PIERCE1, ENSG00000160345]",EpiMed GENSYM,uc004cft.1,,GRCh37,138387272,138391697,3,"[138387025, 138390430, 138391554]","[138387461, 138390509, 138391761]",TRUE,ucsc
gi,chr9_74526422_74588371,chr9,74526422,74588371,+,C9orf85,Predicted,Paternal,C9orf85,9q21,C9orf85,9606,138241,chromosome 9 open reading frame 85,9q21.13,9,active,protein-coding,"[ENSG00000155621, NM_182505, BC010179, Q96MD7, MGC61599, uc004ain.4, RGD:1359158, MGI:1913456, CCDS6639, HGNC:28784, OTTHUMG00000020002, C9orf85]",EpiMed GENSYM,uc004ain.3,,GRCh37,74526650,74587758,4,"[74526422, 74561921, 74586420, 74587607]","[74526752, 74562028, 74586534, 74588371]",TRUE,ucsc
gi_otago,chr7_93053798_93204042,chr7,93053798,93204042,-,CALCR,Provisional,Maternal,CALCR,7q21,CALCR,9606,799,calcitonin receptor,7q21.3,7,active,protein-coding,"[CTR, CCDS55125, MIM:114131, L00587, CRT, P30988, MGI:101950, ENSG00000004948, uc003umw.3, CT-R, CCDS5631, NM_001742, CTR1, HGNC:1440, RGD:621001, CALCR, OTTHUMG00000023599]",EpiMed GENSYM,uc003umw.2,,GRCh37,93055667,93116293,14,"[93053798, 93063564, 93065263, 93067371, 93067521, 93072915, 93090132, 93098026, 93101686, 93106869, 93108665, 93116242, 93203600, 93204003]","[93055901, 93063606, 93065482, 93067438, 93067582, 93073069, 93090259, 93098118, 93101799, 93106980, 93108819, 93116319, 93203818, 93204042]",TRUE,ucsc
added_list_fc,chr7_94139169_94186328,chr7,94139169,94186328,+,CASD1,,,CASD1,7q21.3,64921,9606,64921,CAS1 domain containing 1,7q21.3,7,active,protein-coding,"[uc003uni.5, Q96PB1, NBLA04196, SOAT, AF355594, MIM:611686, HGNC:16014, CASD1, NM_022900, MGI:2384865, CCDS5636, OTTHUMG00000023356, FLJ21213, ENSG00000127995, C7orf12, FLJ21879, RGD:1596912]",EpiMed GENUID,uc003uni.4,,GRCh37,94139396,94185070,18,"[94139169, 94146871, 94147514, 94156473, 94157499, 94162516, 94162990, 94164620, 94166783, 94168278, 94173722, 94174856, 94176407, 94178844, 94180649, 94181661, 94183794, 94184803]","[94139529, 94146968, 94147635, 94156518, 94157562, 94162561, 94163114, 94164835, 94167206, 94168368, 94173842, 94175013, 94176487, 94178946, 94180790, 94181739, 94183887, 94186328]",TRUE,ucsc
gi,chr2_56411257_56613309,chr2,56411257,56613309,+,CCDC85A,Predicted,Paternal,CCDC85A,2p16,CCDC85A,9606,114800,coiled-coil domain containing 85A,2p16.1,2,active,protein-coding,"[NM_001080433, AB067499, CCDS46290, KIAA1912, HGNC:29400, uc002rzn.4, Q96PX6, CCDC85A, OTTHUMG00000152033, RGD:1311700, MGI:2445069, ENSG00000055813]",EpiMed GENSYM,uc002rzn.3,,GRCh37,56411759,56611490,6,"[56411257, 56419611, 56570013, 56599478, 56602950, 56611400]","[56412035, 56420575, 56570090, 56599613, 56603070, 56613309]",TRUE,ucsc
added_list_fc,chr11_35160416_35253949,chr11,35160416,35253949,+,CD44,,,CD44,11p13,960,9606,960,CD44 molecule (Indian blood group),11p13,11,active,protein-coding,"[NM_000610, CCDS55754, HUTCH-I, ENSG00000026508, CDW44, MIC4, CCDS7897, CCDS55755, uc001mvu.4, HGNC:1681, MC56, MGI:88338, LHR, CD44R, OTTHUMG00000044388, CCDS31455, IN, CSPG8, CCDS31458, CCDS31457, ECMR-III, CCDS31456, MDU2, MDU3, M59040, P16070, HCELL, MIM:107269, Pgp1, CD44, RGD:2307]",EpiMed GENUID,uc001mvu.3,,GRCh37,35160850,35250880,18,"[35160416, 35198121, 35201820, 35208378, 35211381, 35218292, 35219667, 35222628, 35223217, 35226058, 35227658, 35229651, 35231511, 35232792, 35236398, 35240862, 35243200, 35250675]","[35160917, 35198287, 35201954, 35208447, 35211612, 35218421, 35219793, 35222742, 35223334, 35226187, 35227790, 35229753, 35231601, 35232996, 35236461, 35240934, 35243279, 35253949]",TRUE,ucsc
gi,chr11_2398546_2418649,chr11,2398546,2418649,+,CD81,Not_Imprinted,Biallelic,CD81,11p15,CD81,9606,975,CD81 molecule,11p15.5,11,active,protein-coding,"[CCDS73240, CD81, NM_004356, ENSG00000110651, LRG_142, S5.7, TAPA1, MGI:1096398, uc001lwf.2, CVID6, TAPA-1, CCDS7734, P60033, TSPAN28, HGNC:1701, MIM:186845, RGD:2315, OTTHUMG00000009892]",EpiMed GENSYM,uc001lwf.1,,GRCh37,2398779,2418096,8,"[2398546, 2411641, 2415324, 2416201, 2416645, 2417098, 2417857, 2418033]","[2398845, 2411756, 2415422, 2416276, 2416750, 2417200, 2417944, 2418649]",TRUE,ucsc
added_list_fc,chr16_89238162_89261900,chr16,89238162,89261900,+,CDH15,,,CDH15,16q24.3,1013,9606,1013,cadherin 15,16q24.3,16,active,protein-coding,"[CCDS10976, uc002fmt.4, D83542, RGD:1303000, MGI:106672, MIM:114019, NM_004933, MRD3, CDH3, CDHM, CDH14, CDH15, MCAD, P55291, ENSG00000129910, OTTHUMG00000138045, HGNC:1754]",EpiMed GENUID,uc002fmt.3,,GRCh37,89238239,89261563,14,"[89238162, 89245823, 89246607, 89249955, 89251580, 89253836, 89254507, 89256650, 89257737, 89258062, 89258612, 89259877, 89260162, 89261269]","[89238281, 89245982, 89246763, 89250100, 89251741, 89253965, 89254693, 89256904, 89257880, 89258302, 89258852, 89260014, 89260321, 89261900]",TRUE,ucsc
gi,chr5_19473154_20575982,chr5,19473154,20575982,-,CDH18,Predicted,Paternal,CDH18,5p15,CDH18,9606,1016,cadherin 18,5p14.3,5,active,protein-coding,"[Q13634, MIM:603019, CCDS54835, U59325, CCDS75229, OTTHUMG00000090578, NM_004934, ENSG00000145526, EY-CADHERIN, CDH14L, CCDS3889, RGD:1305430, CDH24, CDH14, HGNC:1757, MGI:1344366, CDH18, uc003jgc.4]",EpiMed GENSYM,uc003jgc.3,,GRCh37,19473334,19839095,15,"[19473154, 19483409, 19503100, 19520765, 19543977, 19571687, 19591165, 19612542, 19721455, 19747050, 19838867, 19981168, 19991981, 20255552, 20575570]","[19473825, 19483661, 19503218, 19520887, 19544114, 19571941, 19591353, 19612710, 19721575, 19747345, 19839351, 19981287, 19992123, 20255614, 20575982]",TRUE,ucsc
gi,chr12_58141509_58146230,chr12,58141509,58146230,-,CDK4,Predicted,Maternal,CDK4,12q14 AS ,CDK4,9606,1019,cyclin dependent kinase 4,12q14.1,12,active,protein-coding,"[MIM:123829, P11802, CCDS8953, ENSG00000135446, uc001spv.4, CMM3, MGI:88357, RGD:621120, CDK4, PSK-J3, LRG_490, NM_000075, M14505, OTTHUMG00000170382, HGNC:1773]",EpiMed GENSYM,uc001spv.3,,GRCh37,58142307,58145500,8,"[58141509, 58142964, 58143236, 58144438, 58144705, 58144989, 58145282, 58145957]","[58142400, 58143100, 58143287, 58144548, 58144873, 58145125, 58145519, 58146230]",TRUE,ucsc
